x	y
0.367	1.809e-4
0.861	0.003
1.186	0.011
1.411	0.022
1.618	0.053
1.805	0.102
2.007	0.172
2.375	0.326
2.700	0.461
2.906	0.507
3.136	0.535
3.909	0.587
4.179	0.602
5.230	0.621
6.286	0.626
7.774	0.625
9.007	0.619
10.090	0.610
11.239	0.601
12.614	0.584
13.923	0.566
15.891	0.532
17.099	0.507
18.253	0.482
19.657	0.448
21.593	0.397
22.748	0.365
23.920	0.332
24.970	0.301
26.481	0.257
27.782	0.221
29.027	0.185
29.954	0.159
