HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
99240,      6.09561,G5IV-Vvar,      2.17188,5,      2.65288,    0.0871315,   0.00187854,    0.0113493,   0.00873271,    0.0107124,   0.00281592,   0.00348572,   0.00743716,    0.0164596,   0.00567220,   0.00473919,    0.0245196,   0.00135695,   0.00101358,    0.0104514,  0.000971570,  0.000715831,    0.0104673
105090,      3.97094,M1/M2V,      10.7658,3,     0.251535,     0.100825,   0.00127524,    0.0131036,    0.0195000,    0.0187232,    0.0120259,    0.0132585,   0.00925439,    0.0236025,    0.0178257,   0.00859819,    0.0297765,   0.00444554,   0.00253894,    0.0173112,   0.00433185,   0.00267164,    0.0197584
113357,      15.4682,G5V,      18.7782,2,     0.825559,     0.421391,     0.345647,    0.0547616,    0.0264251,    0.0259041,  1.68202e-05,    0.0327219,    0.0528410,    0.0261186,    0.0310856,    0.0271007,    0.0596000,   0.00817363,   0.00685829,    0.0304562,    0.0101067,   0.00672010,    0.0391956
50505,      20.2503,G5,      1.74939,1,      0.00000,     0.418371,     0.422335,    0.0543444,      0.00000,    0.0301434,  0.000923200,   0.00151824,     0.115109,     0.122074,   0.00121420,     0.137293,     0.357552,   0.00142854,    0.0490217,     0.207153,   0.00896569,    0.0758380,     0.259203
21770,      20.3644,F2V,      1.16621,3,      2.32699,     0.152547,    0.0579921,    0.0196678,   0.00896778,   0.00417209,      0.00000,    0.0149247,    0.0238517,   0.00673902,    0.0117608,    0.0132289,    0.0218014,   0.00308106,   0.00354982,    0.0102092,   0.00501485,   0.00318591,    0.0124332
98921,      19.0165,G5IV,      4.65843,2,     0.778955,     0.366833,     0.229255,    0.0472174,   0.00586863,    0.0228410,  3.20327e-05,    0.0107385,    0.0494446,    0.0375586,   0.00992760,    0.0329302,    0.0796382,   0.00433021,   0.00927589,    0.0404894,   0.00884527,    0.0104515,    0.0433415
103096,      7.04056,M2V,      4.33093,1,      0.00000,     0.366205,    0.0723526,    0.0470546,    0.0516044,    0.0955305,    0.0141627,    0.0655220,     0.157516,     0.117146,    0.0609496,     0.188215,     0.262406,    0.0198711,    0.0668620,     0.138570,    0.0351169,    0.0936817,     0.189277
116085,      16.8768,K2V,      2.56396,2,     0.210004,     0.339054,     0.234021,    0.0434362,  7.40831e-05,    0.0254922,   0.00125382,   0.00204560,    0.0542675,    0.0231718,   0.00187321,    0.0565040,    0.0422230,   0.00130511,    0.0182366,    0.0206869,   0.00599899,    0.0215758,    0.0230595
108036,      27.0607,F3IV,     0.417180,1,      0.00000,     0.227925,     0.145981,    0.0291686,  0.000394214,   0.00206226,  2.00958e-05,    0.0128574,    0.0836442,    0.0437229,    0.0112317,     0.157080,     0.244633,   0.00191586,    0.0564956,     0.148293,   0.00913787,    0.0814680,     0.209987
12444,      21.9251,F6V,      1.71305,2,      1.23418,     0.426457,     0.296560,    0.0545474,    0.0158278,    0.0253638,  3.47456e-05,    0.0193543,    0.0556703,    0.0337507,    0.0224562,    0.0266155,    0.0705597,   0.00609172,   0.00752676,    0.0367826,   0.00951825,   0.00829742,    0.0453603
