HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas), nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      439.000,      1.35178,     -37.3574,      11.0740,      10.0220,      8.56000,      7.58900,      6.43000,      5.32800,      4.73200,      4.53500,      10.3699,      4.34531,M2V,    0.0211745,     0.714444,     0.332400,          NaN,          NaN,           4,           4,      33.4877,      255.793,      1.56187,     0.920083,     0.117634,     0.474173
      544.000,      1.65327,      29.0215,          NaN,      6.82200,      6.07000,      5.60000,      5.27000,      4.73300,      4.62900,      4.31400,      5.37398,      13.7786,K0V,     0.668409,     0.596112,     0.891276,      192.900,      4.19000,           1,           1,      59.3357,      2.46515,      1.96883,     0.728297,     0.218670,     0.881440
      910.000,      2.81607,     -15.4680,      5.35000,      5.37700,      4.89000,          NaN,      4.30000,      3.94000,      3.68000,      3.63000,      3.61487,      17.9898,F5V,      2.99538,     0.746612,      1.36814,          NaN,          NaN,           1,           1,      96.2054,      1.97908,      3.24710,      1.02077,     0.191360,     0.771358
      950.000,      2.93337,     -35.1331,          NaN,      5.69900,      5.24000,          NaN,      4.71000,      4.41000,      4.15900,      4.13000,      3.56291,      21.6480,F3/F5V,      3.11910,     0.614388,      1.38405,          NaN,          NaN,           1,           1,      81.5825,      2.72662,      4.07945,      1.95087,     0.166957,     0.672992
      1475.00,      4.59536,      44.0230,      10.3000,      9.65000,      8.09000,      7.30000,      5.61000,      5.25000,      4.48000,      4.02000,      10.3311,      3.56265,M1V,    0.0397541,      1.14448,     0.397945,      34.3000,      3.05000,           4,           4,      55.9652,      264.381,      3.03071,     0.227637,     0.217655,     0.877351
      1599.00,      5.01775,     -64.8748,      4.82000,      4.80600,      4.23000,      3.73000,      3.58000,      3.19000,      2.88000,      2.83000,      4.57404,      8.53476,F9V,      1.28056,      1.12392,      1.07321,          NaN,          NaN,           2,           1,      132.589,      1.25115,      1.72726,     0.126373,     0.245506,     0.989616
      2021.00,      6.43780,     -77.2542,      3.52000,      3.43800,      2.82000,      2.28000,      2.14000,      1.72000,      1.40000,      1.34000,      3.45666,      7.45879,G2IV,      3.64530,      2.26060,      1.44709,          NaN,          NaN,           3,           2,      255.975,      1.11589,     0.966539,    0.0566919,     0.179267,     0.722610
      3093.00,      9.84086,      21.2505,      7.29000,      6.73000,      5.88000,      5.21000,      5.05000,      4.47000,      4.03000,      3.99900,      5.64612,      11.1372,K0V,     0.560743,     0.741515,     0.847653,      172.000,      5.51000,           1,           1,      67.2366,      4.45846,      1.95963,     0.466359,     0.231488,     0.933108
      3497.00,      11.1636,     -65.6495,      7.31000,      7.20500,      6.55000,          NaN,      5.83000,      5.36600,      5.10100,      4.94500,      4.83494,      22.0298,G3V,      1.03204,     0.423986,      1.00905,          NaN,          NaN,           1,           1,      46.1145,     0.556068,      1.72639,      1.43536,    0.0952530,     0.383957
      3505.00,      11.1850,     -22.0061,          NaN,      5.57000,      5.22000,          NaN,      4.80000,      4.33400,      4.46900,      4.35900,      3.04339,      27.2472,F0V,      4.89513,     0.539759,      1.57426,          NaN,          NaN,           1,           1,      81.2008,     0.123055,      3.37691,      1.25698,     0.132640,     0.534660
      3583.00,      11.4400,     -47.5520,          NaN,      6.43500,      5.80000,          NaN,      5.08000,      4.66600,      4.15500,      4.29800,      4.92042,      14.9939,G5IV,     0.950055,     0.584763,     0.985468,      16.6000,      7.64000,           1,           1,      65.0070,      6.06370,      2.55395,      1.22966,     0.198190,     0.798889
      3765.00,      12.0957,      5.28061,      7.22000,      6.63000,      5.74000,      4.99000,      4.77000,      4.37000,      3.72000,      3.61000,      6.38359,      7.43500,K2V,     0.291211,     0.837401,     0.702937,      2.70000,          NaN,           1,           1,      72.5810,     0.348517,      1.10307,    0.0647302,     0.247264,     0.996702
      3810.00,      12.2446,      16.9406,          NaN,      5.57100,      5.07000,      4.80000,      4.50000,      4.43300,      4.15200,      4.18200,      3.23971,      23.2305,F8V...,      4.25197,     0.698787,      1.51216,      85.6000,      7.78000,           1,           1,      88.7639,      2.85995,      3.87008,      1.79760,     0.131085,     0.528393
      3821.00,      12.2762,      57.8152,      4.04000,      4.04700,      3.46000,      2.94000,      2.80000,      2.37000,      2.02000,      1.99000,      4.62861,      5.83819,G0VSB,      1.22036,      1.62312,      1.05855,      12.9000,      3.84000,           3,           1,      189.219,     0.732871,      1.07393,    0.0630691,     0.244707,     0.986394
      3909.00,      12.5316,     -10.6443,          NaN,      5.68400,      5.17000,          NaN,      4.58000,      4.41000,      4.01200,      4.01500,      4.16575,      15.8800,F7IV-V,      1.82153,     0.677708,      1.18689,          NaN,          NaN,           1,           1,      84.9900,      10.8118,      3.54183,      1.86197,     0.178602,     0.719930
      4148.00,      13.2547,     -30.3569,      8.80100,      8.08600,      7.15000,      6.63900,      6.15000,      5.53700,      5.04900,      4.89400,      6.42296,      13.9768,K2V,     0.292614,     0.468619,     0.703903,          NaN,          NaN,           1,           1,      38.7026,      2.44669,      1.67785,      1.59861,     0.126534,     0.510050
