HIP,vmag,dist (pc),Type,EEID (mas),nexozodis (zodis),Detection Coronagraph ID,Characterization Coronagraph ID,Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      73996.0,      4.93000,      19.3546,F5V,      94.0311,      1.70915,           3,           1,      1.37833,     0.636446,     0.178958,     0.721367
      74605.0,      5.15000,      25.2998,F9IV,      86.4623,      2.88538,           2,           1,      3.19897,      1.03904,     0.140172,     0.565022
      75181.0,      5.65000,      14.6882,G2V,      69.6674,      1.60349,           2,           1,      1.82917,     0.383364,     0.236862,     0.954773
      75809.0,      6.57000,      21.8066,G8IV-V+...,      45.8836,      2.08814,           2,           1,      2.26626,      1.33321,     0.139745,     0.563299
      76074.0,      9.31000,      5.91690,M0,      28.4625,     0.888023,           1,           4,      1.40667,      1.31411,     0.225611,     0.909422
      76829.0,      4.64000,      17.3923,F5IV-V,      107.410,      5.60329,           3,           1,      1.49122,     0.833817,     0.178553,     0.719735
      77257.0,      4.42000,      11.8186,G0Vvar,      122.180,     0.932831,           3,           2,     0.924797,     0.166795,     0.232977,     0.939113
      77358.0,      6.01000,      15.2595,G6IV,      60.4440,    0.0383264,           2,           1,      1.58539,     0.340798,     0.233479,     0.941137
      77760.0,      4.60000,      15.8321,F9V,      111.630,      2.58507,           3,           1,      1.16386,     0.365807,     0.193382,     0.779509
      78072.0,      3.85000,      11.1782,F6V,      155.093,      7.02951,           3,           2,     0.893406,     0.196503,     0.201555,     0.812452
      78527.0,      4.01000,      21.4801,F8IV-V,      145.473,     0.710893,           3,           1,     0.751330,    0.0785369,    0.0504900,     0.203521
      78775.0,      6.66000,      14.3705,G8V,      44.9795,      4.38490,           2,           1,      1.78806,     0.862562,     0.207798,     0.837616
      79248.0,      6.61000,      17.9416,K0V,      48.4964,      2.88911,           2,           1,      2.10775,     0.911422,     0.185827,     0.749052
      79492.0,      6.68000,      24.3007,G8V,      45.0570,    0.0172805,           2,           1,      2.18464,     0.743711,     0.123168,     0.496480
