HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
70319,      17.4385,G1V,      6.60195,2,     0.740379,     0.396400,     0.387522,    0.0336497,    0.0130817,   0.00667013,  6.14328e-05,    0.0402559,    0.0554609,    0.0339288,    0.0386036,    0.0274198,    0.0840713,   0.00663690,   0.00610998,    0.0382072,   0.00605113,   0.00521267,    0.0349860
95149,      19.8861,G1/G2V,      2.80796,1,      0.00000,     0.404304,     0.519549,    0.0342836,    0.0195686,    0.0111241,      0.00000,     0.112504,     0.122846,    0.0815874,     0.149820,     0.192979,     0.343403,    0.0325462,    0.0708358,     0.209529,    0.0356086,    0.0973599,     0.277021
33690,      18.3602,K0IV-V,      2.76793,1,      0.00000,     0.340496,     0.436909,    0.0287813,    0.0100565,   0.00957887,      0.00000,    0.0915094,     0.121683,    0.0951068,     0.130682,     0.190021,     0.384520,    0.0290292,    0.0696882,     0.241197,    0.0316718,    0.0959090,     0.301264
102485,      14.2448,F5V,     0.148761,3,      2.48691,     0.276076,    0.0485763,    0.0233057,    0.0579779,    0.0143268,      0.00000,    0.0244402,    0.0180300,    0.0190096,    0.0145216,  0.000678708,    0.0406379,   0.00181567,  0.000145338,    0.0224850,   0.00117114,  0.000130857,    0.0281848
3497,      22.0298,G3V,     0.556068,2,     0.909120,     0.342330,     0.409524,    0.0287499,    0.0125117,    0.0131701,  3.92873e-05,    0.0403455,    0.0559630,    0.0397593,    0.0377592,    0.0275549,    0.0946208,   0.00689794,   0.00699562,    0.0415306,   0.00638438,   0.00642358,    0.0345847
86201,      23.2522,F5V,      2.09441,1,      0.00000,     0.502793,     0.297316,    0.0422241,     0.103701,   0.00555431,  2.00958e-05,     0.229126,    0.0938361,    0.0129277,     0.263830,     0.185847,    0.0562309,    0.0519322,    0.0731686,    0.0383920,    0.0546884,     0.101385,    0.0747872
59750,      22.3514,F5V,      2.46510,1,      0.00000,     0.411673,     0.515438,    0.0345671,    0.0274460,   0.00707957,      0.00000,     0.133259,     0.113859,    0.0589789,     0.172155,     0.193535,     0.281117,    0.0371372,    0.0716778,     0.167525,    0.0400933,    0.0986309,     0.235781
3505,      27.2472,F0V,     0.123055,1,      0.00000,     0.587149,     0.415136,    0.0492890,     0.117258,    0.0125771,  2.00958e-05,     0.216731,     0.114658,    0.0245459,     0.239645,     0.199209,     0.119436,    0.0477496,    0.0738563,    0.0736471,    0.0500535,     0.101092,     0.122088
114948,      20.4599,F7V,      3.49589,2,      1.00881,     0.451883,     0.415935,    0.0378545,    0.0314565,   0.00992993,  2.34719e-05,    0.0494015,    0.0546899,    0.0218773,    0.0363554,    0.0279406,    0.0651634,   0.00644006,   0.00572519,    0.0340201,   0.00549949,   0.00438254,    0.0399918
86162,      4.54999,M3.5Vvar,      2.14840,4,    0.0942565,     0.167490,    0.0749987,    0.0140233,   0.00336792,    0.0166278,   0.00950201,   0.00898339,   0.00323257,    0.0268693,   0.00688667,   0.00174799,    0.0219721,   0.00135555,  0.000624313,    0.0120546,   0.00155456,  0.000508281,   0.00697300
113421,      20.0735,G8IV,      2.40261,2,     0.865817,     0.449607,     0.371340,    0.0375125,    0.0216919,   0.00985614,  2.42757e-05,    0.0440535,    0.0581511,    0.0285847,    0.0377683,    0.0295243,    0.0804316,   0.00716050,   0.00605548,    0.0368257,   0.00617011,   0.00502719,    0.0346158
41484,      21.9880,G5V,      2.04230,1,      0.00000,     0.406833,     0.474376,    0.0339070,    0.0215748,   0.00809456,      0.00000,     0.120788,     0.115827,    0.0660082,     0.160967,     0.192935,     0.309426,    0.0349973,    0.0712346,     0.186535,    0.0380387,    0.0979700,     0.253825
99240,      6.09561,G5IV-Vvar,      2.17188,3,      1.59173,     0.159486,   0.00608228,    0.0132797,    0.0442585,    0.0246260,   0.00566171,    0.0193381,   0.00748044,    0.0313535,    0.0120082,  0.000652993,    0.0483521,   0.00153345,  0.000356245,    0.0235610,   0.00134998,  0.000239283,    0.0246593
113020,      4.67581,M5,      2.54274,2,    0.0310798,     0.334861,     0.245778,    0.0278290,  7.42873e-05,    0.0221056,   0.00576353,    0.0104377,    0.0574906,    0.0586110,    0.0136843,    0.0413325,    0.0698139,   0.00242854,    0.0118902,    0.0303964,   0.00266495,    0.0143244,    0.0243074
