HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
98921,301.291,38.4785,          NaN,6.834,6.18,5.8,5.46,4.92,4.74,4.621,4.78434,19.0165,G5IV,1.08039,0.502147,1.02234,42.3,7.03,2,1,54.6587,4.65843,2.11905,0.996792,0.186945,0.753562
98959,301.387,-67.3209,6.79,6.718,6.07,          NaN,5.35,4.97,4.724,4.511,4.80394,17.9148,G2V,1.05799,0.524459,1.01624,          NaN,          NaN,2,1,57.4155,10.9236,2.91122,1.4822,0.191287,0.771064
99031,301.591,35.9725,          NaN,6.23,5.38,4.8,4.52,3.807,3.446,3.121,3.48442,23.9396,K0IV,4.10624,0.933512,1.49717,64.9,8.32,3,1,84.6458,2.03743,2.42113,0.545237,0.135846,0.547586
99240,302.182,-66.1821,4.78,4.301,3.55,2.95,2.79,2.45,2.11,2.04,4.62492,6.09561,G5IV-Vvar,1.3314,1.90009,1.08522,          NaN,          NaN,3,3,189.294,2.17188,0.579908,0.0267576,0.207663,0.837073
99461,302.8,-36.1012,          NaN,6.188,5.32,          NaN,4.34,          NaN,          NaN,          NaN,6.42351,6.01586,K2V,0.277852,0.984366,0.693569,4.3,6.19,2,1,87.6212,264.849,1.86724,0.319557,0.235221,0.948156
99701,303.472,-45.164,10.627,9.401,7.97,7.053,6.14,5.122,4.525,4.281,9.02188,6.16062,M0V,0.0650504,0.86751,0.458067,          NaN,          NaN,1,1,41.4,7.59207,1.56027,0.216692,0.214227,0.863533
99825,303.822,-27.033,          NaN,6.608,5.73,5.98,4.8,4.112,3.582,3.501,6.00781,8.79909,K3V,0.409736,0.826758,0.774974,          NaN,          NaN,2,1,72.7469,4.80992,1.16577,0.102906,0.246243,0.992585
100017,304.381,66.8537,          NaN,6.512,5.91,5.6,5.24,4.879,4.69,4.451,4.69912,17.4653,G3V,1.15286,0.534588,1.04148,          NaN,          NaN,2,1,61.4769,2.05908,2.2307,0.730757,0.226525,0.913105
100511,305.718,14.5511,          NaN,6.658,6.16,          NaN,5.61,5.228,4.977,4.9,4.08642,25.9846,F8V,1.94729,0.421498,1.20975,          NaN,          NaN,2,1,53.7031,2.78461,3.49124,2.14974,0.151805,0.611916
100925,306.934,-30.8678,          NaN,7.334,6.61,          NaN,5.85,5.362,5.067,4.915,5.18121,19.3089,G6/G8V,0.788047,0.448718,0.934208,          NaN,          NaN,2,1,45.9747,2.09224,2.27593,1.33968,0.168866,0.680687
101997,310.049,-23.7739,          NaN,7.079,6.36,          NaN,5.58,5.296,4.81,4.597,5.52684,14.6768,G8/K0V,0.571705,0.500341,0.852355,          NaN,          NaN,2,1,51.5175,4.59673,1.9085,0.784043,0.227637,0.917585
102040,310.188,19.9355,7.14,7.041,6.43,5.95,5.72,5.252,5.085,4.921,4.82941,20.8986,G5V,1.02698,0.425236,1.00764,69.4,5.45,2,1,48.4913,0.210873,2.35483,1.26241,0.201936,0.813988
