Wavelength [nm] , Vis Channel % Throughput , IR Channel % throughput
      1210.00,      0.00000,      61.1909
      1215.00,      0.00000,      61.2367
      1220.00,      0.00000,      61.3075
      1225.00,      0.00000,      61.3560
      1230.00,      0.00000,      61.4303
      1235.00,      0.00000,      61.4808
      1240.00,      0.00000,      61.5580
      1245.00,      0.00000,      61.6077
      1250.00,      0.00000,      61.6837
      1255.00,      0.00000,      61.7351
      1260.00,      0.00000,      61.8135
      1265.00,      0.00000,      61.8665
      1270.00,      0.00000,      61.9472
      1275.00,      0.00000,      62.0017
      1280.00,      0.00000,      62.0844
      1285.00,      0.00000,      62.1375
      1290.00,      0.00000,      62.2179
      1295.00,      0.00000,      62.2722
      1300.00,      0.00000,      62.3544
      1305.00,      0.00000,      62.4097
      1310.00,      0.00000,      62.4933
      1315.00,      0.00000,      62.5495
      1320.00,      0.00000,      62.6345
      1325.00,      0.00000,      62.6895
      1330.00,      0.00000,      62.7725
      1335.00,      0.00000,      62.8283
      1340.00,      0.00000,      62.9124
      1345.00,      0.00000,      62.9687
      1350.00,      0.00000,      63.0537
      1355.00,      0.00000,      63.1106
      1360.00,      0.00000,      63.1962
      1365.00,      0.00000,      63.2535
      1370.00,      0.00000,      63.3397
      1375.00,      0.00000,      63.3973
      1380.00,      0.00000,      63.4842
      1385.00,      0.00000,      63.5425
      1390.00,      0.00000,      63.6300
      1395.00,      0.00000,      63.6884
      1400.00,      0.00000,      63.7760
      1405.00,      0.00000,      63.8336
      1410.00,      0.00000,      63.9202
      1415.00,      0.00000,      63.9778
      1420.00,      0.00000,      64.0643
      1425.00,      0.00000,      64.1218
      1430.00,      0.00000,      64.2081
      1435.00,      0.00000,      64.2625
      1440.00,      0.00000,      64.3441
      1445.00,      0.00000,      64.3983
      1450.00,      0.00000,      64.4797
      1455.00,      0.00000,      64.5338
      1460.00,      0.00000,      64.6149
      1465.00,      0.00000,      64.6689
      1470.00,      0.00000,      64.7496
      1475.00,      0.00000,      64.8050
      1480.00,      0.00000,      64.8878
      1485.00,      0.00000,      64.9429
      1490.00,      0.00000,      65.0252
      1495.00,      0.00000,      65.0799
      1500.00,      0.00000,      65.1617
      1505.00,      0.00000,      65.2160
      1510.00,      0.00000,      65.2972
      1515.00,      0.00000,      65.3480
      1520.00,      0.00000,      65.4241
      1525.00,      0.00000,      65.4746
      1530.00,      0.00000,      65.5501
      1535.00,      0.00000,      65.6002
      1540.00,      0.00000,      65.6751
      1545.00,      0.00000,      65.7249
      1550.00,      0.00000,      65.7991
      1555.00,      0.00000,      65.8484
      1560.00,      0.00000,      65.9221
      1565.00,      0.00000,      65.9709
      1570.00,      0.00000,      66.0439
      1575.00,      0.00000,      66.0923
      1580.00,      0.00000,      66.1645
      1585.00,      0.00000,      66.2125
      1590.00,      0.00000,      66.2843
      1595.00,      0.00000,      66.3333
      1600.00,      0.00000,      66.4063
      1605.00,      0.00000,      66.4426
      1610.00,      0.00000,      66.5028
      1615.00,      0.00000,      66.5386
      1620.00,      0.00000,      66.5979
      1625.00,      0.00000,      66.6331
      1630.00,      0.00000,      66.6915
      1635.00,      0.00000,      66.7330
      1640.00,      0.00000,      66.8009
      1645.00,      0.00000,      66.8419
      1650.00,      0.00000,      66.9090
      1655.00,      0.00000,      66.9494
      1660.00,      0.00000,      67.0157
      1665.00,      0.00000,      67.0556
      1670.00,      0.00000,      67.1210
      1675.00,      0.00000,      67.1602
